Appointment ID,Appointment Date,Appointment Time,Patient Assigned,Doctor Assigned,Status,Counter
PA1001,24-11-2024,10.30am - 11.00am,NA,NA,UNRESERVED,0
PA1002,24-11-2024,11.00am - 11.30am,NA,NA,UNRESERVED,0
PA1003,24-11-2024,11.30am - 12.00pm,NA,NA,UNRESERVED,0
PA1004,24-11-2024,1.30pm - 2.00pm,NA,NA,UNRESERVED,0
PA1005,24-11-2024,2.00pm - 2.30pm,NA,NA,UNRESERVED,0
PA1006,24-11-2024,2.30pm - 3.00pm,NA,NA,UNRESERVED,0
PA1007,24-11-2024,3.00pm - 3.30pm,NA,NA,UNRESERVED,0
PA1008,24-11-2024,3.30pm - 4.00pm,NA,NA,UNRESERVED,0
PA1009,24-11-2024,4.00pm - 4.30pm,NA,NA,UNRESERVED,0
PA1010,24-11-2024,4.30pm - 5.00pm,NA,NA,UNRESERVED,0
